INT_KEY,X,Y,INTERSECTION_NAME,COUNT_COLLISIONS,COUNT_RELATED_STREETS,AVG_PVMT_CONDITION,AVG_SPEEDLIMIT,SIGNAL_TYPE,TRAFFIC_CIRCLE_EXISTS,ARTERIAL_CLASSIFICATION,COUNT_STOPSIGNS,COUNT_YEILDSIGNS,LIGHTPOLE_COUNT,LIGHTPOLE_AVG_HEIGHT,INTERSECTION_SUBAREA
28580,-122.364425219,47.629600705,6TH AVE W AND W HIGHLAND DR,1,4,13.5,20,NONE,False,0,0,0,1,19,MGNL-QA
32532,-122.312519406,47.571631943,16TH AVE S AND S SPOKANE ST,10,3,48.666666667,23.333333333,NONE,False,2,2,2,1,40,GRDWM
33751,-122.38574974,47.545120967,42ND AVE SW AND FAUNTLEROY WAY SW,13,4,73.75,22.5,NONE,False,1,2,0,2,35,SW
32390,-122.326730295,47.566517221,6TH AVE S AND S INDUSTRIAL EB WAY,1,2,38,22.5,NONE,False,2,5,0,0,0,GRDWM
28727,-122.343544141,47.628019522,AURORA AVE N AND WARD ST,10,3,22.666666667,33.333333333,NONE,False,1,1,0,0,0,MGNL-QA
35191,-122.329723046,47.522822410,4TH AVE S AND S HENDERSON S ST,2,2,23,20,NONE,False,0,0,0,1,47,GRDWM
24608,-122.322649277,47.682781901,NE MAPLE LEAF PL AND DEAD END,0,1,78,20,NONE,False,0,0,0,0,0,NW
36913,-122.38529614,47.699721438,23RD AVE NW AND NW 97TH ST,0,4,31.75,20,NONE,False,0,0,0,2,19,BLRD
37684,-122.293391673,47.690923111,32ND AVE NE AND NE 86TH ST,0,4,92.5,20,NONE,True,0,0,0,1,47,NE
37449,-122.353950371,47.692414329,PHINNEY AVE N AND N 87TH ST,12,4,54.5,20,NONE,False,0,0,0,2,42.5,NW
29258,-122.296655781,47.622515629,E ARTHUR PL AND E HARRISON ST,0,3,32.333333333,20,NONE,False,0,0,0,1,45,CNTRL
30263,-122.290360608,47.61289736,33RD AVE AND E UNION ST,0,4,40.5,22.5,NONE,False,3,2,0,4,33.25,CNTRL
27409,-122.287217682,47.65913835,NE 42ND ST AND DEAD END 2,0,1,87,20,NONE,False,0,0,0,1,40,NE
30684,-122.298489418,47.591635185,26TH AVE S AND S WADSWORTH PL,0,3,68.333333333,20,NONE,False,0,0,0,1,50,CNTRL
33567,-122.286141448,47.558658176,37TH AVE S AND S EDMUNDS ST,2,3,18.666666667,20,NONE,False,0,0,0,1,55,SE
29734,-122.323415471,47.615231142,BOYLSTON AVE AND E PINE ST,49,4,42,22.5,NONE,False,2,2,0,4,41.25,E
35624,-122.363652186,47.723275293,6TH AVE NW AND NW 130TH ST,1,3,82.333333333,20,NONE,False,0,0,0,1,45,NW
33684,-122.268233117,47.553336376,52ND AVE S AND WILSON N AVE S,3,1,81,20,NONE,False,2,3,0,1,45,SE
26779,-122.366180496,47.647536010,W ETRURIA ST AND DEAD END,0,1,62,20,NONE,False,0,0,0,1,35,MGNL-QA
29007,-122.314635397,47.624258768,14TH AVE E AND E MERCER ST,3,4,11.5,20,NONE,False,0,2,0,1,60,E
37396,-122.355414875,47.701461084,GREENWOOD AVE N AND N 100TH ST,27,4,57.75,22.5,NONE,False,2,2,0,2,50,NW
35429,-122.264912623,47.526734296,SEWARD PARK AVE S AND S CLOVERDALE ST,9,3,78.666666667,23.333333333,NONE,False,2,3,0,2,55,SE
24415,-122.320218755,47.6845964,8TH AVE NE AND NE 77TH ST,0,3,45.333333333,20,NONE,False,0,0,0,1,100,N
27902,-122.370764341,47.642019049,WESTVIEW DR W AND W HALLADAY ST,0,3,17.333333333,20,NONE,False,0,0,0,1,50,MGNL-QA
35554,-122.287619359,47.596601799,LAKESIDE UPPER AVE S AND S LANE ST,2,2,0,20,NONE,False,0,1,0,1,30,CNTRL
36003,-122.296542642,47.731976670,30TH AVE NE AND NE 143RD ST,23,4,49.25,22.5,NONE,False,3,2,0,1,50,N
286979,-122.361011711,47.570894967,22ND AVE SW CONNCTR TRL AND DELRIDGE CONNCTR TRL,2,3,0,20,NONE,False,0,0,0,1,999,DLRD
287008,-122.302410166,47.589562397,MOUNTAINS TO SOUND TRL AND S ATLANTIC ST,0,2,0,20,NONE,False,0,0,0,0,0,SE
286941,-122.276351923,47.520336062,45TH AVE S AND S SHELL ST,0,3,8.666666667,20,NONE,False,0,0,0,1,47,SE
335198,-122.29784843,47.566081859,29TH AVE S AND S DAKOTA ST,2,2,0,20,NONE,False,0,0,0,1,30,GRDWM
493077,-122.299088444,47.644700248,MONTLAKE BV EB ON RP AND SR520 EB,2,3,0,43.333333333,NONE,False,4,0,0,0,0,NE
25363,-122.360792235,47.662916882,3RD AVE NW AND NW 47TH S ST,2,2,32,25,NONE,False,3,1,0,0,0,LKUN
37403,-122.351116931,47.702171496,EVANSTON AVE N AND N 101ST ST,4,4,89.75,20,NONE,False,0,0,0,1,50,NW
27995,-122.347085752,47.639104271,5TH AVE N AND LYNN ST,0,3,20.666666667,20,NONE,False,0,0,0,1,55,MGNL-QA
27904,-122.368931096,47.642014407,9TH AVE W AND W HALLADAY ST,0,4,16.75,20,NONE,True,0,0,0,1,50,MGNL-QA
165436,-122.390584698,47.542305870,45TH AVE SW AND SW WILLOW ST,0,3,0,20,NONE,False,0,0,0,0,0,SW
24413,-122.315189383,47.684891740,12TH AVE NE AND NE 77TH ST,1,3,70.333333333,23.333333333,NONE,False,1,1,0,1,35,NE
32637,-122.284013865,47.573730544,BELLA VISTA AVE S AND S HORTON ST,0,3,32.666666667,20,NONE,False,0,0,0,1,28,SE
37665,-122.298787053,47.693122387,27TH AVE NE AND NE 89TH ST,0,3,82,20,NONE,False,0,0,0,1,35,NE
35147,-122.328179143,47.531280756,5TH AVE S AND S MONROE ST,0,3,18.666666667,20,NONE,False,0,0,0,1,55,GRDWM
28844,-122.348835121,47.629745602,4TH AVE N AND HIGHLAND DR,0,3,57,20,NONE,False,0,0,0,1,47,MGNL-QA
33416,-122.278224913,47.559374098,44TH AVE S AND S ANGELINE ST,0,2,47,20,NONE,False,0,0,0,1,40,SE
27094,-122.318796251,47.657515872,9TH AVE NE AND NE 42ND ST,22,4,47.5,22.5,NONE,False,1,1,0,1,50,NE
35183,-122.325053161,47.529831280,S SOUTHERN ST AND DEAD END,0,1,77,20,NONE,False,0,0,0,1,50,GRDWM
36054,-122.296358518,47.722900051,30TH AVE NE AND NE 130TH ST,38,4,54.25,22.5,NONE,False,3,2,0,2,40,N
36869,-122.400452506,47.697881814,NW ESPLANADE AND DEAD END,0,1,38,20,NONE,False,0,0,0,1,47,BLRD
23997,-122.39839426,47.681638817,32ND AVE NW AND NW 73RD ST,0,4,69.25,22.5,NONE,False,3,2,0,1,50,BLRD
33817,-122.381958844,47.535698031,39TH AVE SW AND SW WEBSTER ST,0,4,81,20,NONE,True,0,0,0,1,60,SW
32292,-122.321272863,47.566199785,9TH AVE S AND S ADAMS ST,0,2,89,20,NONE,False,0,0,0,0,0,GRDWM
25143,-122.387576487,47.668678692,24TH AVE NW AND NW MARKET ST,27,4,21.5,25,CITY,False,2,0,0,0,0,BLRD
30251,-122.289239313,47.615206967,34TH AVE AND E PINE ST,10,4,37.25,22.5,NONE,False,3,2,0,1,55,CNTRL
28209,-122.323457609,47.642029525,BOYLSTON AVE E AND E LOUISA ST,9,3,20.666666667,23.333333333,NONE,False,2,1,0,1,30,LKUN
33753,-122.387210103,47.545325470,CALIFORNIA AVE SW AND SW BEVERIDGE PL,9,3,40.666666667,23.333333333,NONE,False,2,1,0,2,32,SW
29662,-122.354147466,47.618597022,DENNY WAY AND WARREN AVE N,33,3,40.666666667,23.333333333,NONE,False,1,2,0,1,33,DWNTN
33157,-122.326892286,47.554883146,6TH AVE S AND S BENNETT ST,0,2,16,20,NONE,False,0,0,0,1,50,GRDWM
36618,-122.292854473,47.715530928,33RD AVE NE AND NE 120TH ST,2,3,77.666666667,20,NONE,False,0,0,0,1,47,N
529881,-122.31120581,47.628656599,16TH AVE E AND E PROSPECT E ST,0,1,40,20,NONE,False,0,0,0,1,25,E
32545,-122.30628113,47.573089890,S HINDS ST AND DEAD END 3,0,1,61,20,NONE,False,0,0,0,1,40,GRDWM
25265,-122.366110372,47.673807107,8TH AVE NW AND NW 62ND S ST,5,2,26,25,NONE,False,2,1,0,1,50,BLRD-NW
26952,-122.352071872,47.658957889,DAYTON AVE N AND N 43RD ST,3,4,31.25,22.5,NONE,False,3,2,0,1,45,LKUN
27917,-122.371528071,47.640241420,11TH AVE W AND SOUND VIEW S TR W,0,2,0,20,NONE,False,0,0,0,0,0,MGNL-QA
33910,-122.395076432,47.537510063,VIEW LN SW AND SW OTHELLO ST,0,3,46.333333333,20,NONE,False,0,0,0,1,55,SW
38399,-122.262730374,47.498708033,56TH AVE S AND LUTHER AVE S,0,3,0,20,NONE,False,0,0,0,1,45,SE
26651,-122.360816487,47.656944122,3RD AVE NW AND NW 41ST N ST,6,2,39,25,NONE,False,3,1,0,1,50,LKUN
30417,-122.319366353,47.600877967,10TH AVE S AND S WASHINGTON ST,0,3,50,20,NONE,False,0,0,0,0,0,E
24741,-122.309961706,47.684861467,17TH AVE NE AND NE 77TH W ST,0,1,71,20,NONE,False,0,0,0,1,40,NE
25485,-122.336274744,47.671040324,KENWOOD PL N AND MCKINLEY PL N,1,4,78.5,20,NONE,False,0,0,0,1,45,LKUN-NW
166562,-122.342655079,47.618132256,7TH AVE AND BATTERY ST,2,3,52.666666667,23.333333333,NONE,False,2,0,0,1,30,DWNTN
28551,-122.361023538,47.632324003,3RD AVE W AND W GALER W ST,2,1,66,20,NONE,False,3,1,0,1,50,MGNL-QA
34071,-122.369884877,47.531894215,29TH AVE SW AND SW KENYON ST,2,3,77,20,NONE,False,0,0,0,1,40,DLRD
31578,-122.304257583,47.582950717,22ND AVE S AND S COLLEGE ST,43,4,42.75,22.5,NONE,False,3,2,0,2,50,GRDWM
24360,-122.352645522,47.676907120,DAYTON AVE N AND N 66TH ST,0,3,58.666666667,20,NONE,False,0,0,0,1,50,NW
31723,-122.407379599,47.570623751,58TH AVE SW AND DEAD END 2,0,1,0,20,NONE,False,0,0,0,0,0,SW
35015,-122.349295475,47.526490048,11TH AVE SW AND SW CLOVERDALE ST,0,2,32,20,NONE,False,0,0,0,1,45,DLRD
36986,-122.378956524,47.690602464,17TH AVE NW AND NW 85TH ST,16,4,72.5,22.5,NONE,False,2,2,0,1,55,BLRD
287167,-122.286022644,47.664895639,BURKE GILMAN TRL AND NE 50TH ST,0,1,0,20,NONE,False,0,0,0,0,0,NE
287169,-122.284807643,47.667308444,40TH AVE NE AND BURKE GILMAN TRL,7,2,0,20,NONE,False,0,0,0,0,0,NE
491949,-122.321027162,47.678271003,I5 SB AND NE LAKE CITY WY ON RP,1,3,0,50,NONE,False,5,0,0,0,0,NW
490894,-122.278007682,47.503281133,I5 SB AND I5 SB EXIT 157 OFF RP,0,2,0,60,NONE,False,5,0,0,0,0,
340117,-122.374011531,47.640682623,W WHEELER ST AND DEAD END 2,0,1,0,20,NONE,False,0,0,0,0,0,MGNL-QA
490135,-122.325903148,47.528128573,CLOVERDALE ST ON RP AND WEST MARGINAL NB WAY S,0,1,45,30,NONE,False,4,0,0,0,0,GRDWM
30943,-122.404025069,47.578997772,56TH AVE SW AND SW LANDER PL,1,2,0,20,NONE,False,0,0,0,1,55,SW
28979,-122.322353907,47.626844673,HARVARD AVE E AND E ALOHA ST,2,4,10.25,20,NONE,True,0,0,0,1,55,E
32258,-122.322692794,47.568950986,AIRPORT WAY S AND S BRADFORD ST,2,4,42,25,NONE,False,1,2,0,3,50,GRDWM
33562,-122.285963622,47.559463826,RAINIER AVE S AND S ANGELINE ST,20,3,63.333333333,23.333333333,NONE,False,1,0,0,1,33,SE
37546,-122.313290884,47.691256214,NE 86TH ST AND DEAD END 1,0,1,77,20,NONE,False,0,0,0,0,0,N
24439,-122.322886205,47.682031013,5TH AVE NE AND NE 74TH ST,9,3,72,23.333333333,NONE,False,2,1,0,1,50,NW
25607,-122.352876955,47.672456837,DAYTON AVE N AND N 60TH ST,2,4,24.75,20,NONE,False,0,0,0,1,45,NW
30663,-122.294407998,47.593312275,YAKIMA AVE S AND S NORMAN ST,0,4,60,20,NONE,False,0,0,0,1,50,CNTRL
28717,-122.342295894,47.630586279,COMSTOCK ST AND DEXTER AVE N,7,3,87.333333333,23.333333333,NONE,False,2,1,0,0,0,MGNL-QA
35476,-122.265132336,47.516822477,54TH AVE S AND S ROXBURY E ST,0,1,87,20,NONE,False,3,1,0,1,55,SE
24664,-122.2914995,47.681231658,34TH AVE NE AND NE 73RD ST,1,4,85,20,NONE,False,0,0,0,1,45,NE
25855,-122.328265393,47.667904767,1ST AVE NE AND NE 54TH ST,0,2,34.5,20,NONE,False,0,0,0,1,47,LKUN-NW
24924,-122.283691434,47.682273738,42ND AVE NE AND NE 74TH ST,0,3,8,20,NONE,False,0,0,0,1,47,NE
32125,-122.370098815,47.571409637,SPOKANE TURN RD AND SW SPOKANE SR ST,1,1,100,25,CITY,False,2,0,0,2,519.5,SW
30201,-122.303730145,47.604927379,22ND AVE AND E TERRACE S ST,2,2,21,20,NONE,False,0,0,0,1,50,CNTRL
30523,-122.327675197,47.597516698,5TH AVE S AND S WELLER ST,9,3,24,23.333333333,CITY,False,2,0,0,4,16.25,DWNTN
28093,-122.350688111,47.640793685,NOB HILL AVE N AND WHEELER ST,0,5,30.6,20,NONE,False,0,0,0,1,47,MGNL-QA
29857,-122.325543045,47.616341731,SUMMIT AVE AND E OLIVE ST,7,4,22.75,20,NONE,True,0,0,0,2,47.5,E
31173,-122.392028198,47.577512301,47TH AVE SW AND SW STEVENS ST,0,3,65.333333333,20,NONE,False,0,0,0,1,35,SW
35228,-122.279785585,47.528994679,42ND PL S AND DEAD END,0,1,79,20,NONE,False,0,0,0,1,30,SE
31891,-122.382809883,47.566490224,40TH AVE SW AND SW DAKOTA ST,2,4,63.5,20,NONE,False,0,2,0,1,47,SW
38187,-122.255840754,47.514791434,62ND AVE S AND WATERS WR AVE S,1,1,56,25,NONE,False,3,1,0,1,40,SE
27487,-122.408827367,47.640454728,ELLINOR DR W AND W PARKMONT PL,0,3,57.666666667,20,NONE,False,0,1,0,1,19,MGNL-QA
28535,-122.282684381,47.632622267,39TH AVE E AND E MADISON ST,4,4,64.5,22.5,NONE,False,2,2,0,1,55,E
34948,-122.372685971,47.521052006,31ST AVE SW AND SW BARTON ST,1,4,73.5,22.5,NONE,False,2,2,0,1,45,DLRD
35861,-122.322217518,47.734041089,NE 145TH ST AND 6TH AVE NE,8,2,74,35,NONE,False,1,0,0,1,50,N-NW
24472,-122.314416715,47.679439713,BROOKLYN AVE NE AND NE 70TH ST,0,3,66.333333333,20,NONE,False,0,0,0,1,45,NE
38385,-122.262397358,47.501346586,56TH AVE S AND S AVON ST,1,4,44.25,20,NONE,False,0,0,0,1,55,SE
24433,-122.31869102,47.682596098,9TH AVE NE AND NE 75TH ST ON RP,1,2,78,30,NONE,False,1,0,0,0,0,NE
32915,-122.395955181,47.547882616,50TH AVE SW AND DEAD END 3,0,1,81,20,NONE,False,0,0,0,1,35,SW
31663,-122.310372078,47.575086929,LAFAYETTE AVE S AND S HANFORD ST,1,3,73,20,NONE,False,0,0,0,0,0,GRDWM
32745,-122.402072483,47.559607136,55TH AVE SW AND SW EDMUNDS ST,0,4,48.25,20,NONE,False,0,0,0,1,47,SW
27831,-122.360961668,47.637169275,3RD AVE W AND W CROCKETT S ST,0,2,33,20,NONE,False,0,0,0,1,90,MGNL-QA
