UNITDESC,SIGNAL_TYPE,COMPTYPE,CONDITION,ARTERIAL_CLASS,INT_SIGNAL_TYPE_CD,PEDSIGNALYN,PEDAUDIODEVICEYN,PP_QUANTITY,PH_QUANTITY,BIKESIGNALHDYN,LTTURNSIGNALYN,RTTURNSIGNALYN,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,NUM_ATTACHMENTS
15TH AVE AND E DENNY WAY                                                                                                                                                                                                                                       ,SEMI,74,GOOD,2.0,CITY,N,N,12,16,N,N,N,N,N,N,0
35TH AVE SW AND SW EDMUNDS ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,HALFPED,Y,N,4,4,N,N,N,N,N,N,0
15TH AVE NE AND NE PACIFIC ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,Y,N,4,4,N,N,N,N,N,N,0
5TH AVE NE AND NE 45TH ST                                                                                                                                                                                                                                      ,SEMI,74, ,1.0,STATE,N,N,6,0,N,N,N,N,N,N,0
AIRPORT WAY S AND S NORFOLK ST                                                                                                                                                                                                                                 ,SEMI,74,POOR,1.0,CITY,N,N,0,0,N,Y,N,Y,N,N,19
UNIVERSITY WAY NE AND NE 47TH ST                                                                                                                                                                                                                               ,PRE,74,GOOD,3.0,CITY,N,N,0,16,N,N,N,N,N,N,0
M L KING JR WAY S AND RAINIER AVE S                                                                                                                                                                                                                            ,FULL,74,FAIR,1.0,CITY,N,N,4,6,N,N,N,N,N,N,0
DELRIDGE WAY SW AND SW JUNEAU ST                                                                                                                                                                                                                               ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,1
8TH AVE AND JAMES ST                                                                                                                                                                                                                                           ,PRE,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
ELLIOTT AVE W AND W HARRISON ST                                                                                                                                                                                                                                ,SEMI,74,POOR,1.0,CITY,N,N,8,8,N,Y,N,N,N,N,0
M L KING JR WAY S AND S MCCLELLAN ST                                                                                                                                                                                                                           ,FULL,74,POOR,2.0,CITY,N,N,8,16,N,Y,N,N,N,N,0
BOREN AVE AND BROADWAY                                                                                                                                                                                                                                         ,SEMI,74,POOR,1.0,CITY,N,N,4,8,Y,N,N,Y,N,N,2
RAINIER AVE S AND S ANDOVER ST                                                                                                                                                                                                                                 ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,Y,N,N,N,N,0
35TH AVE SW AND SW ALASKA ST                                                                                                                                                                                                                                   ,SEMI,74,FAIR,1.0,CITY,N,N,6,6,N,Y,N,N,N,N,0
DEXTER AVE N AND MERCER ST                                                                                                                                                                                                                                     ,SEMI,74,GOOD,1.0,CITY,N,N,10,8,N,Y,Y,Y,Y,Y,0
MADISON ST AND WESTERN AVE                                                                                                                                                                                                                                     ,SEMI,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
FAUNTLEROY WAY SW AND SW AVALON WAY                                                                                                                                                                                                                            ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,1
6TH AVE S AND S DEARBORN ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
4TH AVE AND OLIVE WAY                                                                                                                                                                                                                                          ,PRE,74,FAIR,1.0,CITY,N,N,0,10,Y,N,N,N,N,N,0
PHINNEY AVE N AND N 67TH S ST                                                                                                                                                                                                                                  ,PRE,74,POOR,2.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
35TH AVE SW AND SW THISTLE ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,Y,N,N,N,N,0
LEARY WAY NW AND NW 43RD ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,4,12,N,Y,N,N,N,N,0
QUEEN ANNE AVE N AND W ROY ST                                                                                                                                                                                                                                  ,PRE,74,FAIR,2.0,CITY,N,N,6,8,N,N,N,Y,N,Y,1
ELLIOTT AVE W AND W MERCER PL                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,8,12,N,N,N,N,N,N,0
MERIDIAN AVE N AND N 145TH ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
6TH AVE AND SENECA ST                                                                                                                                                                                                                                          ,PRE,74, ,1.0,STATE,N,N,10,0,N,N,N,N,N,N,0
2ND AVE W AND W MERCER ST                                                                                                                                                                                                                                      ,PRE,74,POOR,1.0,CITY,N,N,8,16,N,N,N,Y,N,Y,0
BELLEVUE AVE AND E PIKE ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,2.0,CITY,N,N,0,16,N,Y,N,N,N,N,6
RAINIER AVE S AND S EDMUNDS ST                                                                                                                                                                                                                                 ,SEMI,74,FAIR,1.0,CITY,N,Y,6,8,N,Y,N,Y,Y,N,0
BEACON AVE S AND S MCCLELLAN ST                                                                                                                                                                                                                                ,SEMI,74,POOR,2.0,CITY,N,Y,4,16,N,Y,N,N,N,N,11
12TH AVE AND E CHERRY ST                                                                                                                                                                                                                                       ,FULL,74,POOR,2.0,CITY,N,N,14,16,N,Y,N,N,N,N,0
18TH AVE AND E CHERRY ST                                                                                                                                                                                                                                       ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
1ST AVE NE AND NE 100TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,2.0,CITY,N,N,12,16,N,Y,Y,N,N,N,0
4TH AVE AND MARION ST                                                                                                                                                                                                                                          ,PRE,74,FAIR,1.0,CITY,N,N,0,8,Y,N,N,N,N,N,0
35TH AVE SW AND SW BARTON ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
WALLINGFORD AVE N AND N 80TH ST                                                                                                                                                                                                                                ,SEMI,74,POOR,2.0,CITY,N,N,4,6,N,N,N,N,N,N,0
BROADWAY AND E UNION ST                                                                                                                                                                                                                                        ,SEMI,74,GOOD,2.0,CITY,N,Y,8,8,Y,Y,N,N,N,N,1
DENNY WAY AND DEXTER AVE                                                                                                                                                                                                                                       ,SEMI,74,FAIR,1.0,CITY,N,N,2,8,N,Y,N,N,N,N,4
DELRIDGE WAY SW AND SW MYRTLE ST                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,HALFPED,Y,N,4,4,N,N,N,N,N,N,0
BOREN AVE AND JAMES ST                                                                                                                                                                                                                                         ,FULL,74,POOR,1.0,CITY,N,N,8,16,N,Y,N,N,N,N,0
WHITMAN PL N AND N 63RD ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,2.0,CITY,N,N,2,4,N,N,N,N,N,N,0
SW KLICKITAT NR WAY AND SW SPOKANE NR ST                                                                                                                                                                                                                       ,FULL,74,POOR,3.0,CITY,N,N,4,21,N,Y,N,N,N,N,1
PHINNEY AVE N AND N 130TH ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,FS,N,N,0,0,N,N,N,N,N,N,0
14TH AVE S AND EAST MARGINAL WAY S                                                                                                                                                                                                                             ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,Y,N,N,N,N,1
1ST AVE S AND S MAIN ST                                                                                                                                                                                                                                        ,PRE,74,FAIR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
12TH AVE S AND S KING ST                                                                                                                                                                                                                                       ,SEMI,74,FAIR,2.0,CITY,N,N,12,8,N,Y,N,N,N,N,0
15TH AVE S AND S COLLEGE ST                                                                                                                                                                                                                                    ,FULL,74,POOR,2.0,CITY,N,N,8,8,N,N,N,Y,N,N,1
16TH AVE SW AND SW AUSTIN ST                                                                                                                                                                                                                                   ,FULL,74,POOR,1.0,CITY,N,N,2,8,N,Y,N,Y,Y,N,0
MERIDIAN AVE N AND N 105TH ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,2.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
RAINIER AVE S AND S ALASKA ST                                                                                                                                                                                                                                  ,FULL,74,POOR,1.0,CITY,N,Y,8,8,N,Y,N,N,N,N,0
GREEN LAKE WAY N AND N CLOGSTON WAY                                                                                                                                                                                                                            ,SEMI,74,POOR,2.0,HALFPED,Y,N,4,4,Y,N,N,N,N,N,0
FREMONT AVE N AND N 46TH ST                                                                                                                                                                                                                                    ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,1
RAINIER AVE S AND S KENNY ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,HALFPED,N,N,2,4,N,N,N,N,N,N,0
24TH AVE E AND E NEWTON N ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,CITY,N,N,4,12,N,N,N,N,N,N,0
23RD AVE AND E JEFFERSON ST                                                                                                                                                                                                                                    ,SEMI,74,FAIR,1.0,CITY,N,N,12,8,N,N,N,N,N,N,0
DEARBORN ST OFF RP AND S DEARBORN ST                                                                                                                                                                                                                           ,SEMI,74, ,1.0,STATE,N,N,0,0,Y,N,N,N,N,N,0
M L KING JR WR WAY S AND S KENYON ST                                                                                                                                                                                                                           ,SEMI,74,GOOD,1.0,CITY,N,N,10,16,N,Y,N,N,N,N,0
DENNY WAY AND WESTLAKE AVE                                                                                                                                                                                                                                     ,SEMI,74,GOOD,1.0,CITY,N,N,8,16,N,Y,N,Y,Y,N,3
38TH AVE E AND E MADISON ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,2.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
EAST MARGINAL WAY S AND S SPOKANE NR ST                                                                                                                                                                                                                        ,FULL,74,POOR,2.0,CITY,N,N,6,16,N,Y,N,N,N,N,0
14TH AVE AND E UNION ST                                                                                                                                                                                                                                        ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
35TH AVE NE AND NE 85TH ST                                                                                                                                                                                                                                     ,SEMI,74,GOOD,2.0,CITY,N,Y,8,8,N,N,N,N,N,N,0
EASTLAKE AVE E AND FUHRMAN AVE E                                                                                                                                                                                                                               ,SEMI,74,FAIR,1.0,CITY,N,N,2,8,N,Y,N,N,N,N,0
EASTLAKE AVE E AND E LYNN ST                                                                                                                                                                                                                                   ,PRE,74,POOR,1.0,CITY,N,N,2,16,N,N,N,N,N,N,1
4TH AVE S AND I90 WB 4TH AV OFF RP                                                                                                                                                                                                                             ,SEMI,74,POOR,1.0,CITY,N,N,2,4,N,Y,Y,N,Y,Y,1
5TH AVE AND TERRACE ST                                                                                                                                                                                                                                         ,SEMI,74,POOR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
25TH AVE NE AND NE 60TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
BAY ST AND ELLIOTT AVE                                                                                                                                                                                                                                         ,SEMI,74,POOR,1.0,CITY,N,N,4,12,N,N,N,N,N,N,0
HARVARD AVE AND E PINE ST                                                                                                                                                                                                                                      ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
2ND AVE AND BLANCHARD ST                                                                                                                                                                                                                                       ,SEMI,74,GOOD,1.0,CITY,N,N,0,8,Y,Y,N,N,N,N,0
AIRPORT WAY S AND S LANDER N ST                                                                                                                                                                                                                                ,SEMI,74,POOR,1.0,CITY,N,N,6,12,N,N,N,N,Y,N,37
WESTLAKE AVE N AND VALLEY ST                                                                                                                                                                                                                                   ,SEMI,74,FAIR,1.0,CITY,N,N,8,16,N,N,N,N,N,N,0
8TH AVE AND SENECA ST                                                                                                                                                                                                                                          ,PRE,74,POOR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
1ST AVE AND YESLER WAY                                                                                                                                                                                                                                         ,PRE,74,FAIR,2.0,CITY,N,N,0,0,N,N,N,N,N,N,0
4TH AVE AND BLANCHARD ST                                                                                                                                                                                                                                       ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
BOREN AVE AND MADISON ST                                                                                                                                                                                                                                       ,FULL,74,POOR,1.0,CITY,N,N,8,8,N,Y,N,N,N,N,2
BROADWAY E AND E MERCER ST                                                                                                                                                                                                                                     ,PRE,74,POOR,2.0,CITY,N,N,2,16,N,N,N,N,N,N,0
W NICKERSON ST AND XW JESSE AVE W                                                                                                                                                                                                                              ,SEMI,74,POOR,1.0,MIDXWALK,Y,N,2,2,N,N,N,N,N,N,0
1ST AVE S AND S STACY ST                                                                                                                                                                                                                                       ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,Y,Y,N,2
DEXTER AVE N AND ALOHA ST                                                                                                                                                                                                                                      ,SEMI,74,POOR,2.0,CITY,N,N,8,16,N,N,N,N,N,N,2
BRIDGE WAY N AND STONE WAY N                                                                                                                                                                                                                                   ,SEMI,74,GOOD,2.0,CITY,N,N,4,8,N,Y,N,N,N,N,1
12TH AVE NE AND NE 70TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
20TH AVE NE AND NE 65TH ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,2.0,CITY,N,N,4,8,N,N,N,N,N,N,0
1ST AVE AND SPRING ST                                                                                                                                                                                                                                          ,PRE,74,FAIR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
16TH AVE S AND EAST MARGINAL WAY S                                                                                                                                                                                                                             ,SEMI,74,POOR,1.0,CITY,N,N,0,0,N,Y,Y,N,N,N,1
AIRPORT WAY S AND S ROYAL BROUGHAM WAY                                                                                                                                                                                                                         ,SEMI,74,POOR,1.0,CITY,N,N,2,8,N,N,N,Y,N,N,51
1ST AVE AND VIRGINIA ST                                                                                                                                                                                                                                        ,PRE,74,POOR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
5TH AVE AND MARION ST                                                                                                                                                                                                                                          ,PRE,74,FAIR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
ROOSEVELT WAY NE AND NE 95TH ST                                                                                                                                                                                                                                ,SEMI,74,POOR,1.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
FLORENTIA ST AND NICKERSON ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,1.0,CITY,N,N,8,16,N,N,N,N,N,N,0
1ST AVE S AND S HOLGATE ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,Y,N,N,Y,Y,2
5TH AVE AND VIRGINIA ST                                                                                                                                                                                                                                        ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
DELRIDGE WAY SW AND SW OREGON ST                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,N,4,4,N,Y,N,N,N,N,0
7TH AVE AND BELL ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,2.0,CITY,N,N,0,8,Y,N,N,N,N,N,0
15TH AVE NE AND NE 45TH ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,1.0,CITY,N,N,8,24,N,Y,N,N,N,N,0
5TH AVE NE AND NE 95TH ST                                                                                                                                                                                                                                      ,SEMI,74,POOR,2.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
24TH AVE NE AND NE NORTHGATE WAY                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,N,2,12,N,N,N,N,N,N,0
15TH AVE E AND E THOMAS S ST                                                                                                                                                                                                                                   ,PRE,74,GOOD,2.0,CITY,N,Y,9,8,N,N,N,N,N,N,0
12TH AVE S AND S JACKSON ST                                                                                                                                                                                                                                    ,SEMI,74,GOOD,1.0,CITY,N,N,0,8,N,Y,N,N,N,N,0
15TH AVE SW AND SW ROXBURY ST                                                                                                                                                                                                                                  ,SEMI,74,GOOD,1.0,CITY,N,N,4,16,N,Y,N,N,N,N,0
35TH AVE SW AND SW RAYMOND ST                                                                                                                                                                                                                                  ,SEMI,74,GOOD,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
15TH AVE NW AND NW 80TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,Y,N,Y,Y,Y,1
15TH AVE NE AND NE 42ND ST                                                                                                                                                                                                                                     ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
E DENNY WAY AND E MADISON ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,CITY,N,N,6,16,N,N,N,N,N,N,0
ROOSEVELT WAY NE AND NE 45TH ST                                                                                                                                                                                                                                ,SEMI,74,GOOD,1.0,CITY,N,N,4,8,N,Y,N,N,N,N,0
ROOSEVELT WAY NE AND NE 42ND S ST                                                                                                                                                                                                                              ,SEMI,74,POOR,1.0,CITY,N,N,2,8,N,N,N,N,N,N,0
HARRISON ST AND QUEEN ANNE AVE N                                                                                                                                                                                                                               ,PRE,74,GOOD,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
GOLF DR S AND S CHARLES ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,2.0,CITY,N,N,2,8,N,N,N,Y,N,N,0
ELLIOTT AVE W AND W GALER ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,Y,Y,N,N,N,2
BROAD ST AND DENNY WAY                                                                                                                                                                                                                                         ,PRE,74,GOOD,1.0,CITY,N,N,0,8,N,N,N,N,N,N,5
1ST AVE S AND S KING ST                                                                                                                                                                                                                                        ,SEMI,74,FAIR,2.0,CITY,N,N,0,0,N,N,N,N,N,N,0
2ND AVE AND VIRGINIA ST                                                                                                                                                                                                                                        ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
9TH AVE N AND MERCER SR ST                                                                                                                                                                                                                                     ,FULL,74,FAIR,1.0,CITY,N,N,12,16,N,Y,N,N,N,Y,0
BROADWAY AND YESLER WAY                                                                                                                                                                                                                                        ,SEMI,74,FAIR,2.0,CITY,N,N,4,12,N,N,N,N,N,N,1
1ST AVE S AND S LANDER ST                                                                                                                                                                                                                                      ,SEMI,74,FAIR,1.0,CITY,N,N,8,16,N,Y,N,N,Y,Y,2
BANNER WAY NE AND NE 80TH ST                                                                                                                                                                                                                                   ,PRE,74,GOOD,1.0,CITY,N,N,0,6,N,N,N,N,N,N,4
8TH AVE AND STEWART ST                                                                                                                                                                                                                                         ,PRE,74,POOR,1.0,CITY,N,N,0,15,N,N,N,N,N,N,0
BOREN AVE AND SENECA ST                                                                                                                                                                                                                                        ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,1
ELLIOTT AVE AND WALL ST                                                                                                                                                                                                                                        ,PRE,74,POOR,1.0,CITY,N,N,2,12,N,N,N,N,N,N,0
7TH AVE AND LENORA ST                                                                                                                                                                                                                                          ,PRE,74,POOR,2.0,CITY,N,N,0,16,Y,N,N,N,N,N,0
GREENWOOD AVE N AND N 143RD ST                                                                                                                                                                                                                                 ,SEMI,74,FAIR,1.0,CITY,N,N,8,8,N,N,N,N,N,N,2
SW SPOKANE ST AND WEST MARGINAL WAY SW                                                                                                                                                                                                                         ,FULL,74,POOR,1.0,CITY,N,N,9,20,N,Y,N,N,N,N,1
15TH AVE NE AND NE 135TH ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
6TH AVE NW AND HOLMAN RD NW                                                                                                                                                                                                                                    ,SEMI,74,FAIR,1.0,CITY,N,Y,4,8,N,N,N,N,N,N,0
1ST AVE AND CEDAR ST                                                                                                                                                                                                                                           ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
FAIRVIEW AVE N AND REPUBLICAN ST                                                                                                                                                                                                                               ,FULL,74,GOOD,1.0,CITY,N,N,12,16,N,Y,N,N,N,Y,0
7TH AVE AND OLIVE WAY                                                                                                                                                                                                                                          ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
6TH AVE S AND S JACKSON ST                                                                                                                                                                                                                                     ,PRE,74,GOOD,1.0,CITY,N,N,0,8,N,N,N,N,N,N,1
STONE WAY N AND N 45TH ST                                                                                                                                                                                                                                      ,FULL,74,POOR,2.0,CITY,N,Y,2,8,N,Y,N,N,N,N,0
2ND AVE AND PIKE ST                                                                                                                                                                                                                                            ,PRE,74,FAIR,1.0,CITY,N,N,8,8,Y,N,N,N,N,N,0
ELLIOTT AVE W AND W PROSPECT ST                                                                                                                                                                                                                                ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,Y,N,N,0
AURORA AVE N AND N 77TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,Y,N,N,Y,Y,16
15TH AVE NW AND NW 58TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,8,16,N,Y,N,N,Y,N,1
RAINIER AVE S AND S OTHELLO ST                                                                                                                                                                                                                                 ,SEMI,74,FAIR,1.0,CITY,N,N,8,8,N,Y,N,N,N,N,0
CREMONA ST AND NICKERSON ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,HALFPED,Y,N,3,4,N,N,N,N,N,N,0
36TH AVE NE AND NE 45TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,HALFPED,Y,N,2,4,N,N,N,N,N,N,0
3RD AVE S AND S JACKSON ST                                                                                                                                                                                                                                     ,PRE,74,POOR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
EASTLAKE AVE E AND E HAMLIN ST                                                                                                                                                                                                                                 ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,1
9TH AVE AND STEWART ST                                                                                                                                                                                                                                         ,PRE,74,POOR,1.0,CITY,N,N,0,16,N,N,N,N,N,N,0
1ST AVE N AND HARRISON ST                                                                                                                                                                                                                                      ,PRE,74,FAIR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
BROADWAY AND E DENNY WAY                                                                                                                                                                                                                                       ,PRE,74,POOR,2.0,CITY,N,N,8,16,N,N,N,N,N,N,0
7TH AVE AND VIRGINIA ST                                                                                                                                                                                                                                        ,PRE,74,FAIR,2.0,CITY,N,N,4,8,N,N,N,N,N,N,0
CALIFORNIA AVE SW AND SW OREGON ST                                                                                                                                                                                                                             ,PRE,74,FAIR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
2ND AVE AND WALL ST                                                                                                                                                                                                                                            ,PRE,74,POOR,1.0,CITY,N,N,8,8,Y,N,N,N,N,N,0
5TH AVE AND CHERRY ST                                                                                                                                                                                                                                          ,SEMI,74,GOOD,1.0,STATE,N,N,0,20,N,N,N,N,N,N,1
BROADWAY AND E PIKE ST                                                                                                                                                                                                                                         ,SEMI,74,POOR,2.0,CITY,N,N,4,8,Y,N,N,Y,N,N,1
RENTON AVE S AND S KENYON ST                                                                                                                                                                                                                                   ,SEMI,74,POOR,2.0,CITY,N,N,4,16,N,N,N,N,N,N,0
BOREN AVE S AND RAINIER AVE S                                                                                                                                                                                                                                  ,FULL,74,GOOD,1.0,CITY,N,Y,10,10,N,Y,N,N,N,N,1
LAKE CITY WAY NE AND NE 80TH ST                                                                                                                                                                                                                                ,SEMI,74,POOR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
DEXTER AVE N AND ROY ST                                                                                                                                                                                                                                        ,SEMI,74,POOR,2.0,CITY,N,N,0,16,N,N,N,Y,Y,Y,3
