UNITDESC,SIGNAL_TYPE,COMPTYPE,CONDITION,ARTERIAL_CLASS,INT_SIGNAL_TYPE_CD,PEDSIGNALYN,PEDAUDIODEVICEYN,PP_QUANTITY,PH_QUANTITY,BIKESIGNALHDYN,LTTURNSIGNALYN,RTTURNSIGNALYN,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,NUM_ATTACHMENTS
5TH AVE S AND S HOLGATE ST                                                                                                                                                                                                                                     ,FULL,74,GOOD,2.0,CITY,N,N,8,8,N,N,N,N,N,N,0
SUNNYSIDE AVE N AND N 45TH ST                                                                                                                                                                                                                                  ,SEMI,74,FAIR,2.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,0
AURORA AVE N AND N 85TH ST                                                                                                                                                                                                                                     ,FULL,74,FAIR,1.0,CITY,N,N,16,8,N,Y,N,N,Y,N,23
BOEING DR AND EAST MARGINAL WAY S                                                                                                                                                                                                                              ,SEMI,74,FAIR,1.0,CITY,N,N,0,0,N,N,N,N,N,N,1
BOREN AVE AND MARION ST                                                                                                                                                                                                                                        ,SEMI,74,GOOD,1.0,CITY,N,N,4,8,N,N,N,N,N,N,2
3RD AVE AND SENECA ST                                                                                                                                                                                                                                          ,PRE,74,GOOD,1.0,CITY,N,N,0,8,N,N,N,N,N,N,0
15TH AVE E AND E REPUBLICAN N ST                                                                                                                                                                                                                               ,PRE,74,POOR,2.0,CITY,N,N,0,16,N,N,N,N,N,N,0
BROADWAY AND CHERRY ST                                                                                                                                                                                                                                         ,SEMI,74,GOOD,2.0,CITY,N,N,4,8,Y,N,N,N,N,N,1
BALLARD AVE NW AND NW MARKET ST                                                                                                                                                                                                                                ,PRE,74,POOR,2.0,HALFPED,Y,N,2,2,N,N,N,N,N,N,18
BEACON ER AVE S AND S COLUMBIAN WAY                                                                                                                                                                                                                            ,PRE,74,POOR,1.0,CITY,N,N,12,24,N,N,N,N,N,N,7
LAKE CITY WAY NE AND NE 120TH ST                                                                                                                                                                                                                               ,SEMI,74,GOOD,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
24TH AVE E AND E MADISON ST                                                                                                                                                                                                                                    ,SEMI,74,GOOD,2.0,CITY,N,N,4,0,N,N,N,N,N,N,0
18TH AVE NE AND NE 45TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,0,12,N,N,N,N,N,N,0
CARLETON AVE S AND S BAILEY ST                                                                                                                                                                                                                                 ,SEMI,74,POOR,1.0,CITY,N,N,6,12,N,Y,Y,N,N,N,0
4TH AVE S AND S JACKSON ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,1.0,CITY,N,Y,0,8,N,N,N,N,N,N,0
25TH AVE NE AND NE 44TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,2,16,N,Y,N,N,N,N,0
FREMONT AVE N AND XW N40                                                                                                                                                                                                                                       ,PRE,74,POOR,2.0,MIDXWALK,Y,N,2,2,N,N,N,N,N,N,0
BROOKLYN AVE NE AND NE 45TH ST                                                                                                                                                                                                                                 ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,Y,N,N,N,N,0
25TH AVE NE AND MONTLAKE BLVD NE                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,N,0,0,N,N,N,N,N,N,1
35TH AVE SW AND SW HOLDEN S ST                                                                                                                                                                                                                                 ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,0
FAIRVIEW AVE N AND JOHN ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,N,4,16,N,N,N,N,N,N,1
AURORA AVE N AND N 135TH ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,8,8,N,Y,N,Y,Y,Y,26
41ST AVE NE AND SAND POINT N WAY NE                                                                                                                                                                                                                            ,SEMI,74,POOR,1.0,CITY,N,N,2,8,N,N,N,N,N,N,0
FISHERMAN TERM DR AND W EMERSON PL                                                                                                                                                                                                                             ,SEMI,74,FAIR,1.0,CITY,N,N,2,6,N,Y,N,Y,N,N,0
25TH AVE NE AND NE 47TH ST                                                                                                                                                                                                                                     ,SEMI,74,POOR,1.0,CITY,N,Y,2,2,N,Y,N,N,N,N,0
DAYTON AVE N AND N 105TH ST                                                                                                                                                                                                                                    ,SEMI,74,FAIR,1.0,CITY,N,N,4,8,N,N,N,N,Y,Y,1
ALASKAN WR WAY AND COLUMBIA ST                                                                                                                                                                                                                                 ,SEMI,74,POOR,1.0,CITY,N,N,0,8,N,N,N,N,N,N,13
17TH NB AVE NE AND NE 50TH ST                                                                                                                                                                                                                                  ,SEMI,74,POOR,3.0,CITY,N,N,8,8,N,N,N,N,N,N,0
5TH AVE N AND BROAD ST                                                                                                                                                                                                                                         ,FULL,74,POOR,1.0,CITY,N,N,8,14,N,N,N,N,N,N,0
42ND AVE SW AND SW ALASKA ST                                                                                                                                                                                                                                   ,SEMI,74,FAIR,2.0,CITY,N,N,8,8,N,N,N,N,N,N,0
SAND POINT WAY NE AND NE 65TH ST                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,N,9,16,N,N,N,N,N,N,0
14TH AVE AND E MADISON ST                                                                                                                                                                                                                                      ,PRE,74,POOR,1.0,CITY,N,N,0,24,N,N,N,N,N,N,0
PHINNEY AVE N AND N 46TH ST                                                                                                                                                                                                                                    ,SEMI,74,POOR,1.0,CITY,N,N,4,8,N,N,N,N,N,N,0
BEACON AVE S AND S SPOKANE ST                                                                                                                                                                                                                                  ,FULL,74,POOR,2.0,CITY,N,N,8,16,N,Y,N,N,N,N,17
4TH AVE S AND S STACY ST                                                                                                                                                                                                                                       ,SEMI,74,FAIR,1.0,CITY,N,N,6,6,N,N,N,Y,Y,N,1
NE 137TH ST AND LAKE CITY WAY NE                                                                                                                                                                                                                               ,SEMI,74,POOR,1.0,CITY,N,Y,8,6,N,Y,N,N,N,N,0
24TH AVE NW AND NW 65TH ST                                                                                                                                                                                                                                     ,PRE,74,POOR,2.0,CITY,N,N,0,8,N,N,N,N,N,N,0
15TH AVE NW AND HOLMAN RD NW                                                                                                                                                                                                                                   ,SEMI,74,FAIR,1.0,CITY,N,N,6,6,N,Y,Y,N,N,N,0
ROOSEVELT WAY NE AND NE 42ND N ST                                                                                                                                                                                                                              ,SEMI,74,POOR,1.0,CITY,N,N,5,8,N,N,N,N,N,N,0
5TH AVE NE AND NE 106TH ST                                                                                                                                                                                                                                     ,SEMI,74,FAIR,2.0,CITY,N,Y,8,8,N,Y,N,N,N,N,0
