X,Y,SIGNTYPE
-122.320519142694,47.703983816027,stop
-122.350727257615,47.6332054098905,stop
-122.320542058718,47.7048917823394,stop
-122.325761125784,47.7022295521837,stop
-122.296254854333,47.6775607859273,stop
-122.360731025928,47.623378155454,stop
-122.311317576269,47.5731394947493,stop
-122.392141856195,47.5737979548299,stop
-122.280994154337,47.5278588382237,stop
-122.309383456509,47.5787859980617,stop
-122.309990313189,47.5481058656775,stop
-122.262172604978,47.4973628729963,stop
-122.30842265545,47.6630941875241,yield
-122.319975478666,47.5408670973913,stop
-122.324350188648,47.5408336357642,stop
-122.376095311894,47.5680442294427,stop
-122.325672339695,47.5247276882211,stop
-122.253488126366,47.509759549592,stop
-122.32497063843,47.597597788205,stop
-122.244931095176,47.5099031576716,stop
-122.380460389143,47.5046763216993,stop
-122.357589260022,47.6541121236237,stop
-122.308666899829,47.6385328512111,stop
-122.327878540033,47.571491518639,stop
-122.313443553541,47.5836482458944,stop
-122.302837058721,47.583724045259,stop
-122.255974626966,47.5098510574706,stop
-122.328321452635,47.5716502196611,stop
-122.3768095389,47.5165004590475,stop
-122.33310325957,47.6185921295973,stop
-122.39043587845,47.5121661453804,stop
-122.376521457234,47.539266118092,stop
-122.28281717139,47.5407255693319,stop
-122.299520990844,47.5436231603567,yield
-122.381751685134,47.5119837614225,stop
-122.37620629103,47.57113495836,stop
-122.309536318312,47.5884631728792,stop
-122.261567962201,47.5467278743742,stop
-122.303272823924,47.5767531206443,stop
-122.356808532515,47.5345483421603,stop
-122.376203338783,47.5683104714637,stop
-122.388126921554,47.5612147212408,stop
-122.360707317791,47.6209996286515,stop
-122.387667693423,47.5083358739618,stop
-122.326285764478,47.5975945260056,stop
-122.358508562922,47.5209832919258,stop
-122.300496470068,47.583587863197,stop
-122.357260924642,47.6541869532601,stop
-122.322806292372,47.5298604800119,stop
-122.323618967682,47.5975899192665,stop
-122.375876488987,47.5082330359535,stop
-122.310715938353,47.5803250055011,stop
-122.355177073753,47.5209861186157,stop
-122.392596871532,47.5350150368488,stop
-122.332803481487,47.6009554755823,stop
-122.378256238669,47.5755384696627,stop
-122.333043058074,47.600807769028,stop
-122.303378169654,47.5766600239974,stop
-122.381445728987,47.5091337215171,stop
-122.393716185511,47.5503246138494,stop
-122.37077874438,47.5707406456464,stop
-122.387263848913,47.5351438714913,stop
-122.303379706071,47.5758377125688,stop
-122.376178470977,47.5118707540435,stop
-122.321117752207,47.5485501664391,stop
-122.314922288195,47.6948590189736,stop
-122.339558132288,47.571655152118,stop
-122.386711875906,47.5684355169547,stop
-122.305305367615,47.587691976379,stop
-122.331457920518,47.5716788630311,stop
-122.30899429634,47.6867104021576,stop
-122.260303216431,47.5106564660474,stop
-122.408246543884,47.575867317728,stop
-122.309546952464,47.583003882361,stop
-122.328383314462,47.5273854497901,stop
-122.376119006889,47.504565590727,stop
-122.302581618096,47.5525399179515,stop
-122.289324740483,47.6776344389551,stop
-122.38737926764,47.5906626337306,yield
-122.289185750158,47.6775613743134,stop
-122.301766570585,47.5409686797092,stop
-122.332018436744,47.5716999580494,stop
-122.308503360098,47.6322743056677,stop
-122.371176850045,47.5136602366956,stop
-122.308784129283,47.6758155248946,stop
-122.356981585916,47.5557195555473,stop
-122.354216114786,47.7087458662329,stop
-122.394168792238,47.5432044248745,stop
-122.32816309064,47.5274098310176,stop
-122.322954475889,47.5272689272278,stop
-122.376185539763,47.5027744981211,stop
-122.277886926063,47.5285981491472,stop
-122.318972330853,47.6372945740396,stop
-122.322848746134,47.5273618206923,stop
-122.326969842627,47.5716317151856,stop
-122.331145547484,47.5714682281221,stop
-127.390658288157,46.8083000791101,stop
-122.309409731857,47.5829321740947,stop
-122.321028687983,47.5443025371523,stop
-122.296883711981,47.6009103403173,stop
-122.291384442496,47.6008113620219,stop
-122.313320138579,47.576038052697,stop
-122.315662941581,47.5354340788993,stop
-122.315304224364,47.5272864163072,stop
-122.32231820059,47.5975879560187,stop
-122.310724202949,47.5837311898307,stop
-122.388470884769,47.5121496670054,yield
-127.390658288157,46.8083000791101,stop
-122.385909550046,47.5448721282876,stop
-122.280280827159,47.5278164180416,stop
-122.318966831679,47.5439980202457,stop
-122.30939788179,47.5883925071526,stop
-122.273359287476,47.5434175827602,stop
-122.295073445361,47.677561469763,stop
-122.362816331106,47.5611318534244,stop
-122.309930163415,47.5770396511041,stop
-122.32637042887,47.6007886985792,stop
-122.315358236245,47.5272406623678,stop
-122.310597717979,47.5877070401699,stop
-122.376097197823,47.5014226438302,stop
