,UNITDESC,STNAME_ORD,XSTRLO,XSTRHI,ARTCLASS,SPEEDLIMIT,SURFACETYPE_1,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,SLOPE_PCT,SHAPE_Length
8106,SW HUDSON ST BETWEEN AUTUMN LN SW AND SW JACOBSEN RD,SW HUDSON ST,AUTUMN LN SW,SW JACOBSEN RD,2.0,25.0,PCC,74.0,0.0,0,9.0,68.6563691418048
8107,SW JUNEAU ST BETWEEN 34TH AVE SW AND 35TH AVE SW,SW JUNEAU ST,34TH AVE SW,35TH AVE SW,0.0,20.0,ST,65.0,0.0,0,1.0,333.114039693542
8108,SW JUNEAU ST BETWEEN 39TH AVE SW AND FAUNTLEROY WAY SW,SW JUNEAU ST,39TH AVE SW,FAUNTLEROY WAY SW,0.0,20.0,PCC,94.0,0.0,0,0.0,175.432192965149
8109,SW JUNEAU ST BETWEEN 41ST AVE SW AND 42ND AVE SW,SW JUNEAU ST,41ST AVE SW,42ND AVE SW,0.0,20.0,PCC,43.0,0.0,0,5.0,320.909463525206
8110,SW KENYON ST BETWEEN 7TH AVE SW AND HIGHLAND PARK WAY SW,SW KENYON ST,7TH AVE SW,HIGHLAND PARK WAY SW,0.0,20.0,ST,49.0,0.0,0,5.0,630.092622447653
8111,SW KENYON ST BETWEEN 11TH AVE SW AND 12TH AVE SW,SW KENYON ST,11TH AVE SW,12TH AVE SW,0.0,20.0,PCC,72.0,0.0,0,4.0,312.396803577361
8112,SW KENYON ST BETWEEN DEAD END 4 AND 24TH AVE SW,SW KENYON ST,DEAD END 4,24TH AVE SW,0.0,20.0,AC,21.0,0.0,0,3.0,77.8181495579761
8113,SW KENYON ST BETWEEN 30TH AVE SW AND HOLDEN PL SW,SW KENYON ST,30TH AVE SW,HOLDEN PL SW,0.0,20.0,PCC,78.0,0.0,0,1.0,170.378157278782
8114,SW KENYON ST BETWEEN 32ND AVE SW AND 34TH AVE SW,SW KENYON ST,32ND AVE SW,34TH AVE SW,0.0,20.0,PCC,70.0,0.0,0,4.0,331.976492045226
8115,SW LANDER ST BETWEEN 36TH AVE SW AND 37TH AVE SW,SW LANDER ST,36TH AVE SW,37TH AVE SW,0.0,20.0,PCC,60.0,0.0,0,10.0,266.00117757529
8116,SW LANDER ST BETWEEN 38TH AVE SW AND 39TH AVE SW,SW LANDER ST,38TH AVE SW,39TH AVE SW,0.0,20.0,PCC,60.0,0.0,0,4.0,255.680560304457
8117,SW LANDER ST BETWEEN 42ND AVE SW AND CALIFORNIA AVE SW,SW LANDER ST,42ND AVE SW,CALIFORNIA AVE SW,0.0,20.0,PCC,47.0,0.0,0,2.0,339.265568463903
8118,SW LANDER ST BETWEEN 58TH E AVE SW AND 58TH W AVE SW,SW LANDER ST,58TH E AVE SW,58TH W AVE SW,0.0,20.0,AC,12.0,0.0,0,0.0,112.519984117999
8119,SW LEDROIT PL BETWEEN WRIGHT AVE SW AND LEDROIT CT SW,SW LEDROIT PL,WRIGHT AVE SW,LEDROIT CT SW,0.0,20.0,PCC,49.0,0.0,0,1.0,408.994030486782
8120,SW MANNING ST BETWEEN 39TH AVE SW AND 40TH AVE SW,SW MANNING ST,39TH AVE SW,40TH AVE SW,0.0,20.0,PCC,73.0,0.0,0,2.0,274.908960311267
8121,SW MASSACHUSETTS ST BETWEEN 42ND AVE SW AND CALIFORNIA AVE SW,SW MASSACHUSETTS ST,42ND AVE SW,CALIFORNIA AVE SW,0.0,20.0,PCC,0.0,0.0,0,5.0,311.14368106229
8122,SW MORGAN ST BETWEEN DEAD END AND 16TH AVE SW,SW MORGAN ST,DEAD END,16TH AVE SW,0.0,20.0,AC,42.0,0.0,0,6.0,286.067783816848
8123,SW MORGAN ST BETWEEN 32ND AVE SW AND 34TH AVE SW,SW MORGAN ST,32ND AVE SW,34TH AVE SW,1.0,25.0,PCC,82.0,0.0,3,2.0,329.426922437262
8124,SW MORGAN ST BETWEEN 36TH AVE SW AND 37TH AVE SW,SW MORGAN ST,36TH AVE SW,37TH AVE SW,1.0,25.0,PCC,46.0,0.0,3,1.0,332.913765623804
8125,SW MORGAN ST BETWEEN 38TH AVE SW AND 39TH AVE SW,SW MORGAN ST,38TH AVE SW,39TH AVE SW,1.0,25.0,PCC,44.0,0.0,3,10.0,338.553376143444
8126,SW MYRTLE ST BETWEEN 18TH AVE SW AND 21ST AVE SW,SW MYRTLE ST,18TH AVE SW,21ST AVE SW,0.0,20.0,ST,1.0,0.0,0,5.0,585.834280961019
8127,SW MYRTLE ST BETWEEN 31ST W AVE SW AND 32ND AVE SW,SW MYRTLE ST,31ST W AVE SW,32ND AVE SW,0.0,20.0,PCC,74.0,0.0,0,1.0,331.995227550413
8128,SW MYRTLE ST BETWEEN 42ND AVE SW AND CALIFORNIA AVE SW,SW MYRTLE ST,42ND AVE SW,CALIFORNIA AVE SW,0.0,20.0,PCC,45.0,0.0,0,12.0,435.164715252723
8129,SW MYRTLE ST BETWEEN 46TH AVE SW AND 47TH AVE SW,SW MYRTLE ST,46TH AVE SW,47TH AVE SW,0.0,20.0,PCC,66.0,0.0,0,5.0,409.948265513373
8130,SW NEVADA ST BETWEEN 28TH AVE SW AND 30TH AVE SW,SW NEVADA ST,28TH AVE SW,30TH AVE SW,0.0,20.0,PCC,86.0,0.0,0,8.0,659.963502280146
8131,SW OREGON ST BETWEEN 23RD AVE SW AND DELRIDGE WAY SW,SW OREGON ST,23RD AVE SW,DELRIDGE WAY SW,2.0,25.0,AC/PCC,55.0,0.0,3,5.0,127.12089284758
8132,SW OREGON ST BETWEEN DEAD END 2 AND 36TH AVE SW,SW OREGON ST,DEAD END 2,36TH AVE SW,0.0,20.0,AC,39.0,0.0,0,1.0,163.046651613576
8133,SW OREGON ST BETWEEN 41ST AVE SW AND 42ND AVE SW,SW OREGON ST,41ST AVE SW,42ND AVE SW,2.0,25.0,PCC,77.0,0.0,0,7.0,325.939871939378
